dia,regional wind,wind gap norte sur
1,8,0
2,8.34629632347405,0.181523268056598
3,10.0623156329628,0.188643110000851
4,10.7913366256678,0.0710847125170462
5,10.7540928649701,0.0784422153940867
6,10.7714565663331,0.642187680432823
7,9.52732026242242,0.0181754036519666
8,9.52017148160001,-0.652478926130308
9,8.85712759473159,-0.207488400413954
10,7.93161166261706,-0.0586002100138384
11,7.74627343980667,-0.422096026637652
12,7.80088838620478,-0.710494447949665
13,7.3916217995933,-0.9627618563458
14,7.66085773324784,-1.47152326853779
15,6.91936202873613,-0.688943021200199
16,7.2503056820444,-0.717407237344736
17,8.04965829031975,-0.998418603589691
18,6.82561182971084,-1.74209443814529
19,6.95284382875728,-1.24198840836117
20,6.58893687967799,-1.48075598961785
21,7.94874803152277,-0.97986212770452
22,8.64953673845207,-1.14220758699456
23,7.57216963699773,0.177626740673995
24,7.87242122142221,-0.0936433308648908
25,9.15201487589171,0.585361884627247
26,8.57685584700935,-0.0723445836969009
27,9.50533018531748,0.0952991424886072
28,9.33483916942447,0.237832319753138
29,8.70232651908978,-0.17554607474351
30,7.78122559810585,0.156345890694073
31,7.94012099049844,0.0609510257526335
32,8.61037568911214,-0.172908651754616
33,7.86717075683023,0.135948849892917
34,6.79981621445332,0.108151748835586
35,6.87861532681347,-0.585789474563587
36,7.10561317630259,-0.956929834631415
37,6.74753337675395,-0.589568452791161
38,6.82531732844528,0.206730481004593
39,6.15694879577896,0.463292473308439
40,7.92881614484608,0.41039324108329
41,7.27740499689127,0.910341499214863
42,9.48616405684662,0.658579362719372
43,9.483398548384,0.234762586599051
44,8.92793156741355,0.701422109466174
45,9.14147461552508,0.392378168276535
46,9.11905319410506,0.530279750591778
47,8.37008239905332,0.789634771497311
48,8.01399538226511,0.799850357833061
49,8.37225256425849,0.991439598233772
50,8.24827254694193,1.88349295651961
51,8.00734156467098,2.23715955026327
52,6.77718017184082,1.88434391716943
53,7.30688465266123,1.10418871219687
54,6.95476475211309,0.700548216419554
55,7.92398044702656,0.994466076365878
56,7.4859368830957,0.652778250471298
57,6.71164775126498,0.54514220247145
58,7.31557312721422,0.0939223315564939
59,7.70123561892265,0.63580300299094
60,7.02658033482059,1.08828814381164
61,6.53237946509658,0.670758725643082
62,5.5857302260061,1.0937660619365
63,4.09302368926396,1.4533524400019
64,6.46468420888702,0.630243262654191
65,6.44106601320017,1.20734817199956
66,6.47134627627578,0.954184558357409
67,7.66569870441445,1.20173750646954
68,8.26620503620211,1.49845797048737
69,7.81011426488183,1.60735574210233
70,7.2669869682858,1.62667964218361
71,6.97991847071403,0.739614587227359
72,7.38330764085894,1.09222302481873
73,8.07911737046925,1.28608547077283
74,9.44494763623729,1.77060465294428
75,7.15220646012112,1.16647396325628
76,6.19224727777889,1.23147644952703
77,6.24665924612613,1.09912685161382
78,6.59900201179982,2.00868416498322
79,6.81831437756241,1.27167929218057
80,7.21997626888318,0.568715353715885
81,8.70940630175222,0.953439712823229
82,7.75777020329034,0.336063209660794
83,7.61922540561941,0.555545427208193
